frame_no,track_id,car_x1,car_y1,car_x2,car_y2,car_score,plate_x1,plate_y1,plate_x2,plate_y2,plate_score,plate_no,plateno_score
6,3.0,2192.744140625,1171.76904296875,2817.291259765625,1772.8775634765625,0.8327358365058899,209.8564453125,423.5142822265625,407.0079040527344,485.02496337890625,0.3098568618297577,NEISU,0.05497959325875275
19,4.0,1191.6884765625,1064.93212890625,1732.3765869140625,1496.9361572265625,0.8472833633422852,270.9345703125,237.14056396484375,381.67999267578125,283.38494873046875,0.3503270447254181,MM,0.1748481374692467
47,3.0,1120.435546875,1160.7685546875,1711.6461181640625,1626.4332275390625,0.8585852384567261,294.43499755859375,250.67135620117188,412.4026794433594,307.2196044921875,0.30097371339797974,IMI,0.06126501710630419
48,5.0,1118.49755859375,1162.93603515625,1708.6993408203125,1633.7918701171875,0.8348078727722168,294.08984375,253.93345642089844,412.5741882324219,310.2911682128906,0.29470333456993103,'00,0.29816317639834006
236,8.0,2241.59716796875,1374.646728515625,2863.750732421875,1883.5616455078125,0.7193392515182495,231.9517059326172,337.8562927246094,430.1102294921875,402.47802734375,0.33428362011909485,MROZFKD,0.09169415592275168
237,7.0,2247.29736328125,1379.266845703125,2864.259521484375,1899.9017333984375,0.7376101016998291,229.5131378173828,339.81829833984375,426.3909606933594,405.9905700683594,0.29597336053848267,WOZRK,0.09527784334384527
238,8.0,2251.08251953125,1383.8096923828125,2866.482421875,1905.7825927734375,0.7087936401367188,226.12437438964844,340.9101257324219,424.1485290527344,406.52978515625,0.2962886691093445,(ROZIFKD,0.16105103536097518
240,6.0,2251.1533203125,1401.898193359375,2871.00341796875,1920.4017333984375,0.7705487012863159,227.0720672607422,342.81494140625,426.64385986328125,406.5450134277344,0.30691924691200256,(ZKD,0.12326109409332275
241,6.0,2251.239990234375,1404.498291015625,2873.608642578125,1927.7130126953125,0.7306979298591614,229.1435546875,345.85028076171875,427.7590026855469,408.9236145019531,0.2771100699901581,TZKD,0.12993155419826508
242,5.0,2248.760986328125,1416.3515625,2874.599365234375,1931.772216796875,0.759540319442749,232.8079071044922,341.3642272949219,431.1424255371094,405.5740966796875,0.29742980003356934,MDZFKD,0.05101016901972874
